Компонент,Требование,Описание,Приоритет
Node.js,>=18.0.0,Серверная среда выполнения,Критический
Express.js,^4.18.2,Web framework для API,Критический
ImapFlow,^1.0.164,IMAP клиент для email,Критический
Google APIs,^128.0.0,Gmail API интеграция,Высокий
Multer,^1.4.5,Загрузка файлов,Критический
CORS,^2.8.5,Cross-origin запросы,Критический
Crypto,Встроенный,Шифрование и безопасность,Критический
File System,10GB+,Свободное место для хранения,Средний
RAM,>=2GB,Оперативная память,Средний
CPU,>=2 cores,Процессор для обработки,Средний
Gmail API,OAuth 2.0,Аутентификация Gmail,Высокий
Outlook API,Microsoft Graph,Аутентификация Outlook,Высокий
IMAP,Port 993/143,Подключение к email серверам,Критический
SMTP,Port 587/465,Отправка email,Средний
Webhooks,HTTPS,Real-time уведомления,Средний
SSL/TLS,Обязательно,Безопасные соединения,Критический
Rate Limiting,Встроенный,Защита от злоупотреблений,Высокий
Логирование,Winston/Console,Отладка и мониторинг,Средний
Валидация,Express-validator,Проверка входных данных,Высокий